Name,Category,Stock,NotifyThreshold,Storage_Information,Purchase_Location,Purchase_Date,Receipt,ID,Photo
Little Beaver Hydraulic Auger,Mining Equipment,3,,Unit B,,,,ID_iu3sa5xj4,/RGBA/warehouse/supply_photos/66e79d8355c00_littlebeaver.webp
"Predator 6500 Watt Generator ",Heavy Duty,1,,Unit B,The Home Depot,,,ID_welnhviqp,/RGBA/warehouse/supply_photos/66e79daf936aa_generator.jpg
Husky 700 Lumen Worklight,Electronics,1,,Unit B,The Home Depot,,,ID_aunfhd63b,/RGBA/warehouse/supply_photos/husky-jobsite-lighting-7901304012-64_1000.jpg
Central Machinery Fan,Electronics,1,,Unit B,,,,ID_fjdbwzpzc,/RGBA/warehouse/supply_photos/81-82-TjRML._AC_SL1500_.jpg
DeWALT Electric Air Compressor,Heavy Duty,1,,Unit B,,,,ID_jf9rex941,/RGBA/warehouse/supply_photos/1313326.webp
Corrosive Safety Cabinet,Lab Equipment,1,,Unit B,,,,ID_ht9wovvo6,/RGBA/warehouse/supply_photos/H-3775M.jpeg
Bauer String Trimmer,Electronics,1,,Unit B,,,,ID_nrmyk6uax,/RGBA/warehouse/supply_photos/57610_W3.jpg
Husky Shovel,Tools,4,,Unit B,,,,ID_4qo6gcs65,/RGBA/warehouse/supply_photos/husky-shovels-77416-944-64_600.jpg.avif
Shappell Jet Sled,Miscellaneous,12,15,Unit B,,,,ID_o80o1j8y1,/RGBA/warehouse/supply_photos/Screenshot 2024-09-15 at 8.11.30 PM.png
VEVOR Hotplate Stirrer,Lab Equipment,2,,Unit B,,,,ID_anv7gyq2o,/RGBA/warehouse/supply_photos/Hotplate-stirrer.jpeg
LORDERAN Fume Hood,Lab Equipment,1,,Unit B,,,,ID_lxvhjl4j1,/RGBA/warehouse/supply_photos/LorderanFumeHoodCseries.webp
DIAMONDBACK Tile Saw,Tools,1,,Unit B,,,,ID_1awgbx5jp,/RGBA/warehouse/supply_photos/DBS7-7In.1.5HPHeavyDutyWetTileSawD-PhotoRoom.webp
Ryobi Miter Saw P553,Tools,1,,Unit B,,,,ID_e5dejwmnp,/RGBA/warehouse/supply_photos/ryobi-miter-saws-ts1346-64_1000.webp
Black Bull Drill Press,Tools,1,,Unit B,,,,ID_m8maofj4p,/RGBA/warehouse/supply_photos/10493360.avif
Ryobi Table Grinder BG612GSB,Tools,1,,Unit B,,,,ID_l6z2y1w1m,/RGBA/warehouse/supply_photos/ryobi-bench-grinders-bg612g-64_600.avif
Electric Heater,Electronics,5,,Unit B,,,,ID_wz1qx44a6,/RGBA/warehouse/supply_photos/blue-heat-storm-infrared-heaters-hs-1500-tt-64_600.avif
Husky Extension Cord Reel,Electronics,2,,Unit B,,,,ID_q4576ud4c,/RGBA/warehouse/supply_photos/husky-extension-cord-reels-lts-xp001-64_1000.avif
DeWALT Nailer DEW-DCN623B,Tools,1,,Unit B,,,,ID_gr74xvcpr,/RGBA/warehouse/supply_photos/Ecomm_Medium-DCN623B_1__10034.jpg
DeWALT Benchtop Planer,Tools,1,,Unit B,,,,ID_7hqosl0fr,/RGBA/warehouse/supply_photos/71maOrsyEEL.jpg
Ridgid Vacuum Cleaner,Electronics,2,,Unit B,,,,ID_vnla7pnme,/RGBA/warehouse/supply_photos/718584_Lg.webp
Chemical Storage Tank,Lab Equipment,2,,Unit B,,,,ID_zjk9szut6,/RGBA/warehouse/supply_photos/1000-litres-tanks-500x500.webp
DeWALT Drill DCD780,Tools,1,,Unit B,,,,ID_msmifmumb,/RGBA/warehouse/supply_photos/61DWjAtmWhL.jpg
DeWALT Multi Tacker DWHT75021,Tools,1,,Unit B,The Home Depot,,,ID_7m2fqse1e,/RGBA/warehouse/supply_photos/dewalt-staple-guns-dwht75021-64_1000.webp
Wagner Heat Gun Furno 500,Tools,1,,Unit B,,,,ID_m3xjmfx0b,/RGBA/warehouse/supply_photos/439102149.wagner-furno-500-2359352.jpg
DeWALT Impact Driver DCF850,Tools,1,,Unit B,,,,ID_qwaziqc1n,/RGBA/warehouse/supply_photos/DCF850P1-1.jpeg
Drill Master 62873,Tools,1,,Unit B,,,,ID_dod58uvci,/RGBA/warehouse/supply_photos/2e581c60-82b6-4a98-82c9-aa4ea44a8745_1.09f44244133364946dbd718b1b8dcf55.webp
DeWALT Sander DCW210,Tools,1,,Unit B,,,,ID_p48hp7v47,/RGBA/warehouse/supply_photos/71cEEIQboRL.jpg
DeWALT Battery DCB606,Tools,1,,Unit B,,,,ID_54i6j3rwn,/RGBA/warehouse/supply_photos/61BJxO+JygL.jpg
DeWALT Battery DCB204,Tools,1,,Unit B,,,,ID_id6x7ibc8,/RGBA/warehouse/supply_photos/DeWALT_DCB204.jpg
DeWALT Battery Charger DCB112,Tools,2,,Unit B,,,,ID_t6wnz18yx,/RGBA/warehouse/supply_photos/123.jpg
Milwaukee Battery Charger,Tools,1,,Unit B,,,,ID_4vdbqzz6o,/RGBA/warehouse/supply_photos/M12-18FC.jpg
Makita Planer KP0800,Tools,1,,Unit B,,,,ID_miezose3f,/RGBA/warehouse/supply_photos/51OHHrJDeqL.jpg
Ryobi Detail Sander DS1200,Tools,1,,Unit B,,,,ID_dfyl08b0e,/RGBA/warehouse/supply_photos/66e7bce866b63_ryobi-detail-sanders-ds1200-64_1000.avif
Viking Battery Charger,Tools,1,,Unit B,,,,ID_ejn4g8mxx,/RGBA/warehouse/supply_photos/63350_I.jpg
Ryobi Stud Detector ESF5001ID,Tools,1,,Unit B,,,,ID_7i9u5qfni,/RGBA/warehouse/supply_photos/p_1001021090.avif
Klein Tools Infrared Temperature Gun,Tools,1,,Unit B,,,,ID_ez82qfjxn,/RGBA/warehouse/supply_photos/klein-tools-infrared-thermometer-ir5-64_1000.webp
Infrared Temperature Gun BTMETER BT-1800,Tools,1,,Unit B,,,,ID_rijwn3dni,/RGBA/warehouse/supply_photos/61aj99qxcYL.jpg
Weller Soldering Gun,Tools,1,,Unit B,,,,ID_k1xehrikn,/RGBA/warehouse/supply_photos/3.jpg
Wagner Sprayer,Tools,1,,Unit B,,,,ID_tvqtkem9k,/RGBA/warehouse/supply_photos/download.jpeg
Pittsburgh Two Stage Vacuum Pump,Electronics,2,,Unit B,,,,ID_y50rhfrp9,/RGBA/warehouse/supply_photos/61176_W3.jpg
AmeriGas Propane Tank,Miscellaneous,2,,Unit B,,,,ID_cdf09n0mq,/RGBA/warehouse/supply_photos/amerigas-propane-tanks-204s-e1_600.avif
Milwaukee Drill Fuel M18,Tools,1,,Unit B,,,,ID_52yiz6k95,/RGBA/warehouse/supply_photos/2962P-20_1_Web__73874.jpg
Milwaukee M18 Battery,Tools,1,,Unit B,,,,ID_r2oflustp,/RGBA/warehouse/supply_photos/71wG-RvpiQL.jpg
Doyle Anvil,Heavy Duty,1,,Unit B,,,,ID_qv43w2l5b,/RGBA/warehouse/supply_photos/58924_W3.jpg
Techtongda Rock Crusher Machine,Heavy Duty,1,,Unit B,,,,ID_59gtmch6c,/RGBA/warehouse/supply_photos/66ea42e5443fb_010e1620-2706-4202-ba09-a9d81a905968.258efd933ce56ec138f06dc239ae0aa7.webp
Husky Tamping Bar,Tools,1,,Unit B,,,,ID_cmb1tr0d2,/RGBA/warehouse/supply_photos/husky-wrecking-pry-bars-120002-64_600.avif
