Description,Incursion Type,LAB,STID ,Zone,Northing,Easting,DH,Depth,Assay Type,COA,Sample Weight,Au,Pt,Pd,Rh,Ir,Os,Ru,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Cl,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Dy,Er,Eu,Gd,Ho,Lu,Nd,Pr,Sm,Tb,Tm,Yb
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.12,0.68,0,0.06,0.06,0.06,0.19,0.68,73872.08,,,,2.05,2.36,,,60.78,11.04,53.84,5.02,19.97,,,,,1.55,,0.06,,31.51,,21169.22,700.89,8.44,,0,19.6,1074.9,,,0,,59.42,12.47,1.8,,1721.2,0.37,0.81,7.01,3235.24,0.19,6.39,90.37,12.41,17.31,75.42,25.12,3.41,1.74,0.99,4.16,0.62,0.25,6.82,6.82,4.47,0.56,0.31,1.74
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.93,0.12,0,0.12,0.06,0,0.12,0.37,72755.63,,,,2.42,0.81,,,62.34,10.61,53.84,5.02,18.86,,,,,1.49,,0,,32.25,,20741.25,689.72,7.69,,0,21.27,1156.77,,,0,,29.59,12.59,0.43,,1697.01,0.37,0,7.19,3148.4,0.06,6.45,88.45,8.25,18.05,78.71,26.92,3.29,1.98,1.12,4.22,0.68,0.25,6.95,6.95,5.33,0.56,0.25,1.67
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.93,0.12,0,0.06,0,0,0.12,0.37,73872.08,,,,3.41,0.62,,,62.77,10.73,51.92,5.4,19.17,,,,,1.49,,0.06,,32.56,,21082.39,707.09,8.44,,0,21.4,952.71,,,0,,19.17,11.97,1.8,,1726.78,0.37,0.68,7.38,3245.16,0.06,6.51,90.43,6.82,18.42,75.73,27.35,3.35,1.8,1.12,4.22,0.68,0.25,6.95,6.95,4.78,0.62,0.25,1.8
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.74,0.21,0,0.11,0,0,0.11,0.42,73527.79,,,,2.7,0.37,,,63.73,11.01,45.63,5.19,20.01,,,,,1.54,,0.05,,32.71,,21047.26,714.63,6.78,,0,21.02,989.37,,,0,,9.37,11.75,3.86,,1740,0.37,0.32,6.93,3284.66,0.05,6.56,89.99,5.4,18.69,75.01,25.09,3.49,1.91,1.11,4.34,0.69,0.26,7.09,7.09,4.82,0.64,0.26,1.75
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.64,0.05,0,0.11,0,0,0.05,0.53,70775.13,,,,3.23,0.32,,,64.85,10.64,48.28,5.08,18.63,,,,,1.38,,0,,33.56,,20073.24,684.99,7.68,,0,19.27,914.73,,,0,,7.46,12.6,6.03,,1692.36,0.37,0.32,7.94,3218.49,0,6.56,87.29,4.82,18.85,72.1,25.3,3.49,1.96,1.06,4.34,0.69,0.26,7.41,7.41,4.98,0.64,0.26,1.64
,HY20,UofN,157822,1,3901926,455890,11,5,LMB Flux,Nexus_COA_Set_2.xlsx,,0.74,0.11,0,0.05,0,0,0.11,0.53,73051.36,,,,3.12,0.32,,,63.26,11.28,47.8,5.24,20.06,,,,,1.54,,0,,32.61,,20713.77,704.58,7.25,,0,22.02,1129.12,,,0,,6.62,12.44,4.55,,1731.53,0.42,0.58,7.52,3329.13,0,6.56,90.52,5.03,18.42,74.59,26.41,3.39,1.85,1.11,4.39,0.69,0.26,7.04,7.04,5.08,0.58,0.26,1.69
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.13,0.2,0,0.46,0,0,0.07,0.2,86159.73,,,,3.98,0.33,,,73.02,12.35,51.58,5.38,21.44,,,,,2.12,,0.07,,38.1,,18313.92,797.21,7.97,,0,23.23,1199.47,,,0,,6.17,12.15,1.59,,845.67,0.46,0.33,7.77,3960.16,0,4.65,98.11,4.51,22.44,140.52,37.84,4.18,2.26,1.46,4.98,0.8,0.33,8.16,8.16,5.84,0.73,0.33,2.06
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.19,0.2,0,0.46,0,0,0.13,0.13,84168.37,,,,1.79,0.27,,,72.35,12.01,51.91,4.98,20.84,,,,,1.99,,0.07,,38.04,,18035.13,777.3,7.17,,0,21.57,1191.5,,,0,,4.91,13.14,8.16,,833.72,0.4,0.66,8.3,3897.77,0,4.58,96.85,4.25,21.97,91.01,38.96,4.18,2.26,1.33,4.78,0.8,0.33,8.16,8.16,5.58,0.73,0.33,2.26
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.13,0.2,0,0.46,0,0,0.13,0.13,88947.64,,,,4.98,0.27,,,74.01,12.28,52.97,5.24,21.51,,,,,2.06,,0,,38.63,,18851.59,807.17,7.57,,0,22.1,1188.18,,,0,,4.51,12.01,4.12,,859.61,0.46,0.6,7.63,4082.96,0,4.65,100.63,4.38,23.1,91.8,41.75,4.18,2.26,1.33,5.11,0.8,0.33,8.5,8.5,6.11,0.73,0.33,2.12
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.18,0.29,0,0.53,0,0.06,0.12,0.18,86159.93,,,,3.82,0.24,,,73.47,12.17,53.78,5.17,21.8,,,,,1.65,,0.06,,38.79,,18331.03,795.19,7.46,,0,24.1,977.97,,,0,,3.47,13.28,4.88,,844.56,0.41,0.12,7.76,4088.19,0,4.53,97.74,4.17,23.21,84.98,32.97,4.11,2.23,1.41,5.29,0.82,0.29,8.52,8.52,5.76,0.76,0.35,2.23
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,1.06,1,0,0.47,0,0,0.12,0.12,83103.78,,,,3.53,0.24,,,73.11,11.64,51.9,4.88,20.92,,,,,1.7,,0.06,,38.67,,17837.34,762.27,7.52,,0,22.92,1010.88,,,0,,3.29,13.16,4.94,,817.52,0.41,0.53,8.11,3943.02,0,4.7,94.92,3.7,23.69,78.58,34.09,4.17,2.35,1.29,5.17,0.82,0.29,8.35,8.35,5.82,0.71,0.35,2
,HY20,UofN,157823,1,3901926,455890,11,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.94,0.41,0,0.47,0,0,0.06,0.12,84396.77,,,,3.06,0.24,,,74.05,11.81,53.72,5.11,20.98,,,,,1.7,,0.06,,39.14,,17937.25,775.79,7.64,,0,24.33,1123.14,,,0,,2.82,14.52,4.76,,822.22,0.47,0.76,8.64,4003.56,0,4.82,96.33,3.76,23.27,79.34,34.38,4.41,2.35,1.41,5.23,0.88,0.35,8.52,8.52,5.94,0.76,0.35,2.06
,HY20,UofN,157824,1,3901926,455890,11,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.42,0.12,0,0.3,0,0,0.12,0.12,81855.95,,,,2.63,0.12,,,81.14,9.31,42.75,3.4,16.48,,,,,1.19,,0,,42.51,,13344.13,621.53,6.27,,0,18.09,886.03,,,0,,2.57,11.52,4.66,,2197.15,0.36,0.54,7.05,3335.14,0,3.64,87.59,3.16,19.58,78.15,26.21,3.82,2.03,1.43,4.78,0.72,0.3,9.19,9.19,5.85,0.72,0.3,1.73
,HY20,UofN,157824,1,3901926,455890,11,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.48,0.12,0,0.06,0,0,0.06,0.12,79228.92,,,,3.22,0.12,,,80.3,8.66,40.6,3.16,16.3,,,,,1.25,,0,,42.39,,13039.63,595.38,6.51,,0,16.72,906.33,,,0,,2.27,10.03,6.57,,2127.9,0.36,0.18,7.64,3299.31,0,3.52,85.2,3.1,19.82,74.09,26.81,3.64,2.09,1.31,5.02,0.78,0.3,9.02,9.02,5.79,0.66,0.3,1.79
,HY20,UofN,157824,1,3901926,455890,11,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.36,0.3,0,0.06,0,0,0.12,0.12,80781.25,,,,2.93,0.06,,,79.29,9.08,42.93,3.22,16.3,,,,,1.43,,0,,41.67,,13266.51,614.96,6.75,,0,15.64,1032.9,,,0,,2.15,10.69,3.58,,2168.5,0.42,0.06,7.34,3403.2,0,3.52,87.29,3.1,20.18,72.84,28.06,3.64,1.91,1.43,5.02,0.78,0.3,9.08,9.08,6.09,0.66,0.3,1.79
,HY20,UofN,157824,1,3901926,455890,11,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.06,0.13,0,0.06,0,0,0.19,0.13,79798.51,,,,1.1,0.13,,,78.18,9.21,45.28,3.31,15.05,,,,,1.3,,0,,42.3,,13027.27,610.75,6.94,,0,18.1,1008.19,,,0,,2.14,9.6,5,,2172.08,0.32,0.13,6.75,3352.19,0,3.57,81.81,2.98,20.11,67.67,28.87,3.7,2.01,1.36,5,0.71,0.26,8.63,8.63,5.71,0.65,0.32,1.82
,HY20,UofN,157824,1,3901926,455890,11,15,LMB Flux,Nexus_COA_Set_2.xlsx,,17.26,1.36,45.09,1.69,0,0,2.72,0.13,80577.03,,,,3.18,0.13,,,100.75,8.89,41.59,3.11,14.53,,,,,1.43,,0.06,,54.95,,13234.88,614.97,6.81,,0,18.55,881.68,,,0,,1.95,19.46,8.24,,2191.54,0.32,0.71,23.87,3400.2,0,4.74,83.04,2.98,27.31,54.82,30.95,5.58,3.83,2.98,7.4,2.27,1.82,12.39,12.39,9.21,2.21,1.88,3.83
